dbn,lat,long,2007type,2007enrollment,2007pi,2007overall,2007progress,2007performance,2007environment,2008type,2008enrollment,2008pi,2008overall,2008progress,2008performance,2008environment,2009type,2009enrollment,2009pi,2009overall,2009progress,2009performance,2009environment,2010type,2010enrollment,2010pi,2010overall,2010progress,2010performance,2010environment,2011type,2011enrollment,2011pi,2011overall,2011progress,2011performance,2011environment
07X156,40.8222,-73.9204,Elementary,716,16.32302406,0.344827586,2.233676976,1.030927835,2.920962199,Elementary,670,,,,,,,,,,,,,,,,,,,,,,,,,,
27Q097,40.694232,-73.860031,Elementary,712,48.96907216,52.93103448,29.20962199,95.01718213,46.56357388,Elementary,715,58.74363328,62.73504274,64.44444444,88.37606838,21.02564103,Elementary,724,58.52842809,64.69594595,63.17567568,74.83108108,14.35810811,Elementary,736,51.42378559,93.1092437,94.28571429,89.24369748,49.07563025,Elementary,713,53.23383085,67.95302013,63.25503356,87.41610738,46.6442953
27Q096,40.675369,-73.808128,Elementary,275,60.82474227,67.5862069,68.38487973,65.46391753,32.81786942,Elementary,271,61.79966044,35.8974359,26.32478632,62.90598291,53.16239316,Elementary,274,61.8729097,57.93918919,65.54054054,88.51351351,45.43918919,Elementary,295,64.8241206,68.7394958,84.70588235,45.54621849,30.08403361,Elementary,305,70.31509121,18.12080537,18.45637584,36.0738255,44.96644295
15K015,40.677085,-74.011864,Elementary,409,25.08591065,82.4137931,57.73195876,88.83161512,71.30584192,Elementary,386,14.2614601,96.58119658,93.33333333,82.22222222,94.18803419,Elementary,358,14.54849498,87.83783784,77.87162162,70.94594595,90.70945946,Elementary,341,6.197654941,94.62184874,88.06722689,88.40336134,86.55462185,Elementary,341,8.789386401,73.99328859,49.16107383,84.39597315,79.36241611
15K010,40.660912,-73.985946,Elementary,564,58.41924399,16.89655172,10.13745704,41.92439863,86.76975945,Elementary,575,51.10356537,99.48717949,98.29059829,77.26495727,90.25641026,Elementary,559,51.17056856,87.5,77.19594595,80.57432432,96.28378378,Elementary,666,64.65661642,76.63865546,59.32773109,73.61344538,86.55462185,Elementary,730,67.1641791,53.8590604,29.02684564,73.82550336,86.57718121
27Q090,40.696653,-73.839517,Elementary,850,63.91752577,33.96551724,14.26116838,87.62886598,56.18556701,Elementary,845,63.6672326,73.5042735,40.34188034,85.98290598,53.16239316,Elementary,792,63.87959866,59.45945946,48.14189189,81.41891892,44.08783784,Elementary,828,63.14907873,67.73109244,72.43697479,57.64705882,41.8487395,Elementary,840,64.51077944,66.27516779,61.91275168,67.7852349,46.6442953
08X140,40.823318,-73.907489,Elementary,507,19.41580756,30.68965517,32.13058419,33.16151203,58.7628866,Elementary,522,15.78947368,29.4017094,25.64102564,35.04273504,50.94017094,Elementary,527,16.05351171,66.38513514,47.2972973,58.78378378,41.89189189,Elementary,548,13.90284757,10.08403361,7.058823529,38.99159664,20.16806723,Elementary,549,26.53399668,30.53691275,42.61744966,25.83892617,22.81879195
08X146,40.824717,-73.905734,Elementary,464,13.40206186,75.51724138,79.5532646,39.00343643,22.85223368,Elementary,472,16.29881155,87.52136752,95.72649573,46.32478632,24.44444444,Elementary,427,16.55518395,40.37162162,41.21621622,50.50675676,20.77702703,Elementary,457,16.58291457,14.11764706,14.78991597,34.62184874,10.75630252,Elementary,421,20.06633499,42.95302013,40.77181208,34.73154362,67.61744966
08X381,40.823318,-73.907489,,,,,,,,,,,,,,,HST,104,20,,,,,,,,,,,,,,,,,,
19K202,40.665817,-73.876084,K-8,1075,13.44537815,82.20338983,81.51260504,70.58823529,7.56302521,K-8,1030,25.89928058,30.9352518,15.10791367,76.25899281,17.26618705,K-8,968,24.08759124,53.28467153,37.95620438,78.83211679,62.77372263,K-8,922,26.35135135,3.378378378,1.351351351,36.48648649,24.32432432,K-8,885,33.5483871,3.267973856,3.921568627,18.30065359,14.37908497
20K229,40.610331,-74.013585,Elementary,570,91.0652921,59.13793103,21.99312715,93.81443299,92.09621993,Elementary,600,91.68081494,58.11965812,38.63247863,91.11111111,86.83760684,Elementary,660,91.80602007,31.58783784,28.20945946,74.83108108,70.94594595,Elementary,747,90.95477387,63.19327731,62.5210084,81.00840336,49.07563025,K-8,861,95.48387097,54.90196078,55.55555556,81.04575163,15.03267974
20K227,40.622102,-73.995961,Middle,1341,50.48231511,25.60553633,30.32258065,52.09003215,18.26923077,Middle,1384,63.60946746,60.37735849,78.93081761,30.18867925,9.433962264,Middle,1354,63.8483965,32.82674772,34.95440729,25.53191489,20.36474164,Middle,1367,67.4863388,63.4502924,70.1754386,59.35672515,20.76023392,Middle,1349,66.92307692,83.00835655,90.80779944,59.33147632,36.4902507
20K220,40.640997,-74.00125,Middle,1305,47.90996785,34.25605536,42.25806452,32.15434084,52.56410256,Middle,1267,50.29585799,39.3081761,57.86163522,17.9245283,37.42138365,Middle,1275,51.31195335,19.14893617,32.21884498,7.598784195,31.00303951,Middle,1290,59.83606557,55.26315789,73.68421053,40.64327485,45.32163743,Middle,1295,61.53846154,36.76880223,46.23955432,25.34818942,54.59610028
20K223,40.6351,-73.982424,Middle,719,27.0096463,80.62283737,78.38709677,57.8778135,70.83333333,Middle,719,31.06508876,95.91194969,97.16981132,90.56603774,55.97484277,Middle,637,32.36151604,81.45896657,71.42857143,82.0668693,63.52583587,Middle,596,45.35519126,73.0994152,78.65497076,67.54385965,65.49707602,Middle,619,55.64102564,83.28690808,89.13649025,47.63231198,61.00278552
75K036,40.660465,-73.887195,,,,,,,,,,,,,,,,,,,,,,D75,231,,17.85714286,17.85714286,67.85714286,3.571428571,D75,234,,85.18518519,92.59259259,33.33333333,74.07407407
84X378,40.845023,-73.857989,,,,,,,,,,,,,,,,,,,,,,Elementary,178,62.98157454,15.29411765,1.008403361,98.31932773,87.89915966,Elementary,215,63.51575456,88.25503356,78.18791946,98.99328859,95.63758389
27Q146,40.660531,-73.834896,Elementary,521,87.11340206,41.20689655,61.51202749,28.00687285,38.48797251,K-8,604,89.92805755,48.92086331,56.83453237,38.1294964,61.15107914,K-8,636,89.7810219,32.11678832,62.04379562,9.489051095,49.6350365,K-8,667,89.18918919,43.91891892,44.59459459,10.81081081,58.78378378,K-8,687,85.16129032,62.74509804,55.55555556,41.17647059,44.44444444
